,gene1,gene2,result
179,G:HGNC:32717,G:HGNC:1952,no meta path
180,G:HGNC:20357,G:HGNC:6962,no meta path
181,G:HGNC:24250,G:HGNC:5270,"Meta path:GMG, rank is 33 and total rank is 402"
182,G:HGNC:3559,G:HGNC:1317,"Meta path:GTG, rank is 134 and total rank is 477"
183,G:HGNC:6518,G:HGNC:11052,"Meta path:GTG, rank is 248 and total rank is 426"
184,G:HGNC:9800,G:HGNC:23488,no meta path
185,G:HGNC:602,G:HGNC:24891,"Meta path:GTG, rank is 411 and total rank is 628"
186,G:HGNC:5580,G:HGNC:7121,no meta path
187,G:HGNC:13922,G:HGNC:19354,"Meta path:GTG, rank is 165 and total rank is 407"
188,G:HGNC:2606,G:HGNC:8624,"Meta path:GMDpDMG, rank is 1 and total rank is 2513"
189,G:HGNC:3796,G:HGNC:11326,no meta path
190,G:HGNC:2653,G:HGNC:31983,no meta path
191,G:HGNC:2252,G:HGNC:12680,"Meta path:GTG, rank is 514 and total rank is 976"
192,G:HGNC:36654,G:HGNC:11034,no meta path
193,G:HGNC:3430,G:HGNC:13054,"Meta path:GTG, rank is 526 and total rank is 688"
194,G:HGNC:14872,G:HGNC:12458,"Meta path:GTG, rank is 649 and total rank is 700"
195,G:HGNC:21496,G:HGNC:15986,"Meta path:GMG, rank is 112 and total rank is 457"
196,G:HGNC:16740,G:HGNC:13607,no meta path
197,G:HGNC:29548,G:HGNC:29436,"Meta path:GTG, rank is 75 and total rank is 408"
198,G:HGNC:4380,G:HGNC:34036,no meta path
199,G:HGNC:4952,G:HGNC:31573,no meta path
200,G:HGNC:23074,G:HGNC:10642,"Meta path:GMDMG, rank is 2603 and total rank is 3926"
201,G:HGNC:9848,G:HGNC:17125,"Meta path:GTG, rank is 396 and total rank is 539"
202,G:HGNC:19038,G:HGNC:23667,no meta path
203,G:HGNC:943,G:HGNC:4161,"Meta path:GTG, rank is 186 and total rank is 511"
204,G:HGNC:17592,G:HGNC:8767,"Meta path:GMDMG, rank is 2210 and total rank is 2817"
205,G:HGNC:17055,G:HGNC:17565,"Meta path:GMG, rank is 345 and total rank is 1519"
206,G:HGNC:307,G:HGNC:29982,no meta path
207,G:HGNC:9954,G:HGNC:17376,"Meta path:GTG, rank is 402 and total rank is 557"
208,G:HGNC:26969,G:HGNC:16085,"Meta path:GMG, rank is 562 and total rank is 827"
209,G:HGNC:29322,G:HGNC:23176,"Meta path:GMG, rank is 9 and total rank is 259"
210,G:HGNC:12886,G:HGNC:14855,no meta path
211,G:HGNC:24226,G:HGNC:11976,"Meta path:GTG, rank is 138 and total rank is 377"
212,G:HGNC:3170,G:HGNC:2855,"Meta path:GTG, rank is 464 and total rank is 571"
213,G:HGNC:26987,G:HGNC:32871,no meta path
214,G:HGNC:28344,G:HGNC:2092,no meta path
215,G:HGNC:28781,G:HGNC:28114,no meta path
216,G:HGNC:27001,G:HGNC:18180,no meta path
217,G:HGNC:6610,G:HGNC:37094,no meta path
218,G:HGNC:31648,G:HGNC:3573,no meta path
219,G:HGNC:32607,G:HGNC:7212,"Meta path:GTG, rank is 367 and total rank is 493"
220,G:HGNC:23085,G:HGNC:33752,no meta path
221,G:HGNC:8681,G:HGNC:14596,no meta path
222,G:HGNC:9192,G:HGNC:28400,no meta path
223,G:HGNC:24808,G:HGNC:18328,"Meta path:GTG, rank is 7 and total rank is 189"
224,G:HGNC:26440,G:HGNC:24809,no meta path
225,G:HGNC:12148,G:HGNC:28422,no meta path
226,G:HGNC:27279,G:HGNC:16649,no meta path
