,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank
108,G:HGNC:9416,G:HGNC:9395,"['GMG', 'GMDMG', 'GMDpDMG']",3694.0,0.314,5384.0
109,G:HGNC:9416,G:HGNC:9395,"['GTG', 'GMG', 'GMDMG', 'GMDpDMG']",3080.0,0.312,4475.0
110,G:HGNC:18080,G:HGNC:10871,['GTG'],5.0,0.977,214.0
111,G:HGNC:8787,G:HGNC:8779,['GPdPG'],6.0,0.786,28.0
112,G:HGNC:8787,G:HGNC:8779,['GTG'],176.0,0.531,375.0
113,G:HGNC:8787,G:HGNC:8779,"['GPdPG', 'GTG']",26.0,0.48,50.0
114,G:HGNC:19316,G:HGNC:19317,['GDpDpDG'],3275.0,0.358,5099.0
115,G:HGNC:19316,G:HGNC:19317,['GPdPG'],1.0,0.917,12.0
116,G:HGNC:19316,G:HGNC:19317,['GTG'],2.0,0.994,363.0
117,G:HGNC:19316,G:HGNC:19317,['GMDMG'],969.0,0.601,2429.0
118,G:HGNC:19316,G:HGNC:19317,['GMDpDMG'],2431.0,0.454,4450.0
119,G:HGNC:19316,G:HGNC:19317,"['GDpDpDG', 'GPdPG']",25.0,0.324,37.0
120,G:HGNC:19316,G:HGNC:19317,"['GDpDpDG', 'GTG']",2041.0,0.296,2900.0
121,G:HGNC:19316,G:HGNC:19317,"['GDpDpDG', 'GMDMG']",2678.0,0.285,3745.0
122,G:HGNC:19316,G:HGNC:19317,"['GDpDpDG', 'GMDpDMG']",2390.0,0.271,3279.0
123,G:HGNC:19316,G:HGNC:19317,"['GPdPG', 'GTG']",2.0,0.966,58.0
124,G:HGNC:19316,G:HGNC:19317,"['GPdPG', 'GMDMG']",22.0,0.56,50.0
125,G:HGNC:19316,G:HGNC:19317,"['GPdPG', 'GMDpDMG']",33.0,0.421,57.0
126,G:HGNC:19316,G:HGNC:19317,"['GTG', 'GMDMG']",137.0,0.94,2282.0
127,G:HGNC:19316,G:HGNC:19317,"['GTG', 'GMDpDMG']",1342.0,0.647,3807.0
128,G:HGNC:19316,G:HGNC:19317,"['GMDMG', 'GMDpDMG']",3678.0,0.422,6368.0
129,G:HGNC:19316,G:HGNC:19317,"['GDpDpDG', 'GPdPG', 'GTG']",21.0,0.222,27.0
130,G:HGNC:19316,G:HGNC:19317,"['GDpDpDG', 'GPdPG', 'GMDMG']",21.0,0.222,27.0
131,G:HGNC:19316,G:HGNC:19317,"['GDpDpDG', 'GPdPG', 'GMDpDMG']",18.0,0.28,25.0
132,G:HGNC:19316,G:HGNC:19317,"['GDpDpDG', 'GTG', 'GMDMG']",1628.0,0.229,2112.0
133,G:HGNC:19316,G:HGNC:19317,"['GDpDpDG', 'GTG', 'GMDpDMG']",1464.0,0.21,1852.0
134,G:HGNC:19316,G:HGNC:19317,"['GDpDpDG', 'GMDMG', 'GMDpDMG']",2457.0,0.25,3274.0
135,G:HGNC:19316,G:HGNC:19317,"['GPdPG', 'GTG', 'GMDMG']",5.0,0.884,43.0
136,G:HGNC:19316,G:HGNC:19317,"['GPdPG', 'GTG', 'GMDpDMG']",15.0,0.643,42.0
137,G:HGNC:19316,G:HGNC:19317,"['GPdPG', 'GMDMG', 'GMDpDMG']",35.0,0.397,58.0
138,G:HGNC:19316,G:HGNC:19317,"['GTG', 'GMDMG', 'GMDpDMG']",1723.0,0.633,4690.0
139,G:HGNC:19316,G:HGNC:19317,"['GDpDpDG', 'GPdPG', 'GTG', 'GMDMG']",15.0,0.167,18.0
