,gene1,gene2,result
81,G:HGNC:9416,G:HGNC:2933,"Meta path:['GTG'], rank is 49 and total rank is 464"
82,G:HGNC:6524,G:HGNC:3393,"Meta path:['GPdPG'], rank is 10 and total rank is 54"
83,G:HGNC:9253,G:HGNC:9256,"Meta path:['GPdPG'], rank is 11 and total rank is 32"
84,G:HGNC:7715,G:HGNC:7716,"Meta path:['GPdPG'], rank is 1 and total rank is 15"
85,G:HGNC:18485,G:HGNC:16352,"Meta path:['GTG'], rank is 6 and total rank is 237"
86,G:HGNC:13480,G:HGNC:11842,"Meta path:['GPdPG'], rank is 1 and total rank is 27"
87,G:HGNC:6560,G:HGNC:7038,"Meta path:['GTG'], rank is 3 and total rank is 212"
88,G:HGNC:7015,G:HGNC:7020,"Meta path:['GTG'], rank is 1 and total rank is 336"
89,G:HGNC:9299,G:HGNC:28110,"Meta path:['GTG'], rank is 105 and total rank is 518"
90,G:HGNC:18133,G:HGNC:16254,"Meta path:['GPdPG'], rank is 1 and total rank is 27"
91,G:HGNC:9157,G:HGNC:9155,"Meta path:['GMG'], rank is 3 and total rank is 188"
92,G:HGNC:33437,G:HGNC:16906,"Meta path:['GTG'], rank is 18 and total rank is 380"
93,G:HGNC:9278,G:HGNC:9316,"Meta path:['GTG'], rank is 44 and total rank is 427"
94,G:HGNC:4632,G:HGNC:4635,"Meta path:['GTG'], rank is 2 and total rank is 433"
95,G:HGNC:28110,G:HGNC:9305,"Meta path:['GTG'], rank is 46 and total rank is 338"
96,G:HGNC:2529,G:HGNC:2530,"Meta path:['GTG'], rank is 23 and total rank is 431"
97,G:HGNC:2279,G:HGNC:2285,"Meta path:['GPdPG'], rank is 1 and total rank is 11"
98,G:HGNC:21531,G:HGNC:4130,"Meta path:['GTG'], rank is 2 and total rank is 222"
99,G:HGNC:2730,G:HGNC:2731,"Meta path:['GTG'], rank is 1 and total rank is 542"
100,G:HGNC:9286,G:HGNC:9304,"Meta path:['GTG'], rank is 154 and total rank is 349"
101,G:HGNC:20944,G:HGNC:28407,"Meta path:['GTG'], rank is 6 and total rank is 404"
102,G:HGNC:19318,G:HGNC:19317,"Meta path:['GPdPG'], rank is 1 and total rank is 12"
103,G:HGNC:4123,G:HGNC:23242,"Meta path:['GTG'], rank is 13 and total rank is 319"
104,G:HGNC:25891,G:HGNC:29834,"Meta path:['GTG'], rank is 32 and total rank is 224"
105,G:HGNC:9038,G:HGNC:9039,"Meta path:['GTG'], rank is 40 and total rank is 386"
106,G:HGNC:3512,G:HGNC:3513,"Meta path:['GTG'], rank is 1 and total rank is 450"
107,G:HGNC:6076,G:HGNC:33882,"Meta path:['GTG', 'GMG'], rank is 5 and total rank is 1776"
108,G:HGNC:19662,G:HGNC:4642,"Meta path:['GTG'], rank is 4 and total rank is 225"
