,gene1,gene2,result
86,G:HGNC:26837,G:HGNC:3334,"Meta path:GTG, rank is 260 and total rank is 540"
87,G:HGNC:6547,G:HGNC:12476,"Meta path:GMG, rank is 341 and total rank is 1647"
88,G:HGNC:13164,G:HGNC:33383,"Meta path:GMG, rank is 848 and total rank is 1760"
89,G:HGNC:2514,G:HGNC:24578,"Meta path:GTG, rank is 821 and total rank is 987"
90,G:HGNC:19009,G:HGNC:10776,"Meta path:GTG, rank is 642 and total rank is 698"
91,G:HGNC:30799,G:HGNC:30227,"Meta path:GMG, rank is 1499 and total rank is 2243"
92,G:HGNC:23576,G:HGNC:28866,"Meta path:GTG, rank is 134 and total rank is 504"
93,G:HGNC:1663,G:HGNC:3236,"Meta path:GMG, rank is 202 and total rank is 596"
94,G:HGNC:29383,G:HGNC:8574,"Meta path:GMDpDMG, rank is 87 and total rank is 7308"
95,G:HGNC:4983,G:HGNC:28145,"Meta path:GMDMG, rank is 115 and total rank is 6393"
96,G:HGNC:17550,G:HGNC:8607,"Meta path:GTG, rank is 667 and total rank is 883"
97,G:HGNC:16783,G:HGNC:5039,"Meta path:GTG, rank is 175 and total rank is 559"
98,G:HGNC:2665,G:HGNC:24566,"Meta path:GTG, rank is 318 and total rank is 468"
99,G:HGNC:16934,G:HGNC:11158,"Meta path:GTG, rank is 259 and total rank is 430"
100,G:HGNC:23846,G:HGNC:29427,"Meta path:GMG, rank is 928 and total rank is 1469"
101,G:HGNC:23034,G:HGNC:11364,"Meta path:GTG, rank is 758 and total rank is 887"
102,G:HGNC:8607,G:HGNC:10887,"Meta path:GMDpDMG, rank is 168 and total rank is 4292"
103,G:HGNC:2323,G:HGNC:12698,"Meta path:GTG, rank is 256 and total rank is 453"
104,G:HGNC:195,G:HGNC:25883,"Meta path:GTG, rank is 221 and total rank is 643"
105,G:HGNC:992,G:HGNC:33521,"Meta path:GMG, rank is 194 and total rank is 1413"
106,G:HGNC:9542,G:HGNC:10452,"Meta path:GTG, rank is 348 and total rank is 564"
107,G:HGNC:29383,G:HGNC:10848,"Meta path:GMG, rank is 1454 and total rank is 1519"
108,G:HGNC:30306,G:HGNC:21374,"Meta path:GTG, rank is 400 and total rank is 499"
109,G:HGNC:11850,G:HGNC:11969,"Meta path:GTG, rank is 650 and total rank is 783"
110,G:HGNC:26128,G:HGNC:6861,"Meta path:GTG, rank is 130 and total rank is 373"
111,G:HGNC:15989,G:HGNC:10896,"Meta path:GTG, rank is 501 and total rank is 599"
112,G:HGNC:1550,G:HGNC:6974,"Meta path:GTG, rank is 179 and total rank is 491"
113,G:HGNC:13244,G:HGNC:10848,"Meta path:GTG, rank is 710 and total rank is 757"
114,G:HGNC:959,G:HGNC:11763,"Meta path:GTG, rank is 540 and total rank is 900"
115,G:HGNC:9237,G:HGNC:11111,"Meta path:GTG, rank is 539 and total rank is 867"
116,G:HGNC:18782,G:HGNC:9702,"Meta path:GMDMG, rank is 1147 and total rank is 6982"
117,G:HGNC:1555,G:HGNC:11050,"Meta path:GMG, rank is 257 and total rank is 1953"
118,G:HGNC:30306,G:HGNC:9623,"Meta path:GTG, rank is 173 and total rank is 496"
119,G:HGNC:27750,G:HGNC:27998,"Meta path:GMG, rank is 1633 and total rank is 1638"
120,G:HGNC:9107,G:HGNC:30626,"Meta path:GTG, rank is 155 and total rank is 420"
121,G:HGNC:14251,G:HGNC:21931,"Meta path:GMDMG, rank is 649 and total rank is 8082"
122,G:HGNC:7544,G:HGNC:24566,"Meta path:GMG, rank is 1420 and total rank is 1636"
123,G:HGNC:29529,G:HGNC:30453,"Meta path:GMG, rank is 1130 and total rank is 1511"
124,G:HGNC:17278,G:HGNC:9556,"Meta path:GTG, rank is 254 and total rank is 527"
125,G:HGNC:16934,G:HGNC:29533,"Meta path:GTG, rank is 183 and total rank is 395"
126,G:HGNC:10452,G:HGNC:10922,"Meta path:GTG, rank is 241 and total rank is 394"
127,G:HGNC:6407,G:HGNC:7434,"Meta path:GMDMG, rank is 67 and total rank is 7559"
128,G:HGNC:3826,G:HGNC:16952,"Meta path:GTG, rank is 246 and total rank is 480"
129,G:HGNC:5363,G:HGNC:16852,"Meta path:GTG, rank is 465 and total rank is 556"
130,G:HGNC:16627,G:HGNC:3666,"Meta path:GTG, rank is 617 and total rank is 884"
131,G:HGNC:26813,G:HGNC:17497,"Meta path:GMG, rank is 1417 and total rank is 1596"
132,G:HGNC:16974,G:HGNC:12663,"Meta path:GTG, rank is 530 and total rank is 608"
133,G:HGNC:1069,G:HGNC:4568,"Meta path:GTG, rank is 587 and total rank is 789"
134,G:HGNC:23052,G:HGNC:11772,"Meta path:GMG, rank is 734 and total rank is 1503"
135,G:HGNC:15531,G:HGNC:30215,"Meta path:GMDMG, rank is 86 and total rank is 2739"
136,G:HGNC:11050,G:HGNC:22423,"Meta path:GMDMG, rank is 2762 and total rank is 5106"
137,G:HGNC:26244,G:HGNC:4983,"Meta path:GTG, rank is 688 and total rank is 744"
138,G:HGNC:5013,G:HGNC:11491,"Meta path:GTG, rank is 455 and total rank is 738"
139,G:HGNC:6285,G:HGNC:6836,"Meta path:GTG, rank is 456 and total rank is 556"
140,G:HGNC:1504,G:HGNC:15531,"Meta path:GTG, rank is 523 and total rank is 598"
141,G:HGNC:949,G:HGNC:4037,"Meta path:GTG, rank is 248 and total rank is 794"
142,G:HGNC:5253,G:HGNC:11200,"Meta path:GMDpDMG, rank is 474 and total rank is 7810"
143,G:HGNC:3951,G:HGNC:10252,"Meta path:GTG, rank is 549 and total rank is 661"
144,G:HGNC:14870,G:HGNC:17197,"Meta path:GMG, rank is 520 and total rank is 1452"
145,G:HGNC:6773,G:HGNC:32008,"Meta path:GTG, rank is 575 and total rank is 664"
146,G:HGNC:5000,G:HGNC:21529,"Meta path:GMDMG, rank is 375 and total rank is 5011"
147,G:HGNC:169,G:HGNC:17016,"Meta path:GTG, rank is 346 and total rank is 602"
148,G:HGNC:348,G:HGNC:12663,"Meta path:GMG, rank is 1057 and total rank is 1363"
149,G:HGNC:17302,G:HGNC:12666,"Meta path:GTG, rank is 603 and total rank is 760"
150,G:HGNC:17088,G:HGNC:29503,"Meta path:GTG, rank is 393 and total rank is 528"
151,G:HGNC:13568,G:HGNC:12012,"Meta path:GTG, rank is 112 and total rank is 332"
152,G:HGNC:3649,G:HGNC:11439,"Meta path:GTG, rank is 373 and total rank is 663"
153,G:HGNC:6893,G:HGNC:11284,"Meta path:GMDMG, rank is 239 and total rank is 2972"
154,G:HGNC:10632,G:HGNC:3775,"Meta path:GTG, rank is 685 and total rank is 906"
155,G:HGNC:20763,G:HGNC:3430,"Meta path:GMDpDMG, rank is 232 and total rank is 7308"
156,G:HGNC:24594,G:HGNC:18625,"Meta path:GMDMG, rank is 238 and total rank is 8097"
157,G:HGNC:2363,G:HGNC:28330,"Meta path:GMG, rank is 830 and total rank is 1873"
158,G:HGNC:19009,G:HGNC:10780,"Meta path:GTG, rank is 173 and total rank is 473"
159,G:HGNC:17208,G:HGNC:3800,"Meta path:GMDMG, rank is 255 and total rank is 6155"
160,G:HGNC:812,G:HGNC:11158,"Meta path:GTG, rank is 388 and total rank is 565"
161,G:HGNC:2280,G:HGNC:19998,"Meta path:GMG, rank is 1600 and total rank is 1965"
162,G:HGNC:3017,G:HGNC:10241,"Meta path:GTG, rank is 191 and total rank is 484"
163,G:HGNC:17087,G:HGNC:12476,"Meta path:GTG, rank is 209 and total rank is 533"
164,G:HGNC:21863,G:HGNC:17860,"Meta path:GTG, rank is 160 and total rank is 491"
165,G:HGNC:21155,G:HGNC:4055,"Meta path:GTG, rank is 487 and total rank is 663"
