gene1,gene2,label,meta_path,rank_percent
G:HGNC:29548,G:HGNC:29436,0,GTG,0.816
G:HGNC:23074,G:HGNC:10642,0,GMDMG,0.337
G:HGNC:9848,G:HGNC:17125,0,GTG,0.265
G:HGNC:943,G:HGNC:4161,0,GTG,0.636
G:HGNC:17592,G:HGNC:8767,0,GMDMG,0.215
G:HGNC:17055,G:HGNC:17565,0,GMDMG,0.87
G:HGNC:9954,G:HGNC:17376,0,GMDpDMG,0.494
G:HGNC:26969,G:HGNC:16085,0,GMDMG,0.721
G:HGNC:29322,G:HGNC:23176,0,GMG,0.965
G:HGNC:24226,G:HGNC:11976,0,GTG,0.634
G:HGNC:3170,G:HGNC:2855,0,GTG,0.187
G:HGNC:32607,G:HGNC:7212,0,GTG,0.256
G:HGNC:24808,G:HGNC:18328,0,GTG,0.963
G:HGNC:1455,G:HGNC:13886,0,GTG,0.144
G:HGNC:23485,G:HGNC:7146,0,GMG,0.476
G:HGNC:25492,G:HGNC:29167,0,GTG,0.945
G:HGNC:9329,G:HGNC:11004,0,GTG,0.768
G:HGNC:25364,G:HGNC:4568,0,GMDMG,0.638
G:HGNC:707,G:HGNC:26098,0,GTG,0.677
G:HGNC:30136,G:HGNC:8487,0,GTG,0.464
G:HGNC:21336,G:HGNC:19024,0,GTG,0.519
G:HGNC:9109,G:HGNC:14702,0,GTG,0.689
G:HGNC:29304,G:HGNC:18745,0,GTG,0.36
G:HGNC:21147,G:HGNC:20982,0,GTG,0.783
G:HGNC:29672,G:HGNC:20528,0,GTG,0.786
G:HGNC:5009,G:HGNC:35126,0,GTG,0.583
G:HGNC:23298,G:HGNC:21224,0,GTG,0.616
G:HGNC:30581,G:HGNC:21176,0,GMDMG,0.399
G:HGNC:6253,G:HGNC:18469,0,GTG,0.792
G:HGNC:16497,G:HGNC:7714,0,GTG,0.599
G:HGNC:6692,G:HGNC:31862,0,GMDpDMG,0.89
G:HGNC:20267,G:HGNC:8968,0,GMDMG,0.538
G:HGNC:6914,G:HGNC:29121,0,GTG,0.384
G:HGNC:30869,G:HGNC:29993,0,GTG,0.55
G:HGNC:10640,G:HGNC:10498,0,GTG,0.348
G:HGNC:18458,G:HGNC:11064,0,GMDMG,0.727
G:HGNC:24084,G:HGNC:26744,0,GMDMG,0.975
G:HGNC:26006,G:HGNC:2210,0,GMDpDMG,0.943
G:HGNC:20785,G:HGNC:9318,1,,0
G:HGNC:8356,G:HGNC:16123,0,,0
G:HGNC:15436,G:HGNC:40532,0,,0
G:HGNC:20330,G:HGNC:208,0,,0
G:HGNC:1001,G:HGNC:19201,0,,0
G:HGNC:32908,G:HGNC:4426,0,,0
G:HGNC:25073,G:HGNC:33619,0,,0
G:HGNC:15130,G:HGNC:24457,0,,0
G:HGNC:33727,G:HGNC:25062,0,,0
G:HGNC:32777,G:HGNC:6319,0,,0
G:HGNC:33927,G:HGNC:14499,0,,0
G:HGNC:10977,G:HGNC:20427,0,,0
G:HGNC:1171,G:HGNC:11004,0,,0
G:HGNC:15194,G:HGNC:4235,0,,0
G:HGNC:16319,G:HGNC:31093,0,,0
G:HGNC:9632,G:HGNC:10516,0,,0
G:HGNC:30405,G:HGNC:11868,0,,0
G:HGNC:16509,G:HGNC:16027,0,,0
G:HGNC:35427,G:HGNC:24893,0,,0
G:HGNC:28412,G:HGNC:28617,0,,0
G:HGNC:7555,G:HGNC:26914,0,,0
G:HGNC:26571,G:HGNC:33257,0,,0
G:HGNC:27112,G:HGNC:18592,0,,0
G:HGNC:25069,G:HGNC:12234,0,,0
G:HGNC:18089,G:HGNC:32332,0,,0
G:HGNC:26313,G:HGNC:30084,0,,0
G:HGNC:13875,G:HGNC:27286,0,,0
G:HGNC:31617,G:HGNC:24846,0,,0
G:HGNC:30362,G:HGNC:32031,0,,0
G:HGNC:21374,G:HGNC:20758,0,,0
G:HGNC:27252,G:HGNC:16118,0,,0
G:HGNC:16847,G:HGNC:17801,0,,0
G:HGNC:12831,G:HGNC:38223,0,,0
G:HGNC:8980,G:HGNC:49973,0,,0
G:HGNC:29070,G:HGNC:26181,0,,0
G:HGNC:2209,G:HGNC:32573,0,,0
G:HGNC:28207,G:HGNC:21360,0,,0
G:HGNC:8135,G:HGNC:707,0,,0
G:HGNC:4868,G:HGNC:15169,0,,0
G:HGNC:26438,G:HGNC:16216,0,,0
G:HGNC:31677,G:HGNC:18094,0,,0
G:HGNC:31922,G:HGNC:18106,0,,0
G:HGNC:2763,G:HGNC:7880,0,,0
G:HGNC:25323,G:HGNC:31911,0,,0
G:HGNC:26563,G:HGNC:31770,0,,0
G:HGNC:20175,G:HGNC:33202,0,,0
G:HGNC:24718,G:HGNC:29642,0,,0
G:HGNC:34377,G:HGNC:19074,0,,0
G:HGNC:29545,G:HGNC:24692,0,,0
G:HGNC:32717,G:HGNC:1952,0,,0
G:HGNC:20357,G:HGNC:6962,0,,0
G:HGNC:9800,G:HGNC:23488,0,,0
G:HGNC:5580,G:HGNC:7121,0,,0
G:HGNC:3796,G:HGNC:11326,0,,0
G:HGNC:2653,G:HGNC:31983,0,,0
G:HGNC:36654,G:HGNC:11034,0,,0
G:HGNC:16740,G:HGNC:13607,0,,0
G:HGNC:4380,G:HGNC:34036,0,,0
G:HGNC:4952,G:HGNC:31573,0,,0
G:HGNC:19038,G:HGNC:23667,0,,0
G:HGNC:307,G:HGNC:29982,0,,0
G:HGNC:12886,G:HGNC:14855,0,,0
G:HGNC:26987,G:HGNC:32871,0,,0
G:HGNC:28344,G:HGNC:2092,0,,0
G:HGNC:28781,G:HGNC:28114,0,,0
G:HGNC:27001,G:HGNC:18180,0,,0
G:HGNC:6610,G:HGNC:37094,0,,0
G:HGNC:31648,G:HGNC:3573,0,,0
G:HGNC:23085,G:HGNC:33752,0,,0
G:HGNC:8681,G:HGNC:14596,0,,0
G:HGNC:9192,G:HGNC:28400,0,,0
G:HGNC:26440,G:HGNC:24809,0,,0
G:HGNC:12148,G:HGNC:28422,0,,0
G:HGNC:27279,G:HGNC:16649,0,,0
G:HGNC:15139,G:HGNC:17660,0,,0
G:HGNC:23596,G:HGNC:29027,0,,0
G:HGNC:31498,G:HGNC:4565,0,,0
G:HGNC:8738,G:HGNC:24963,0,,0
G:HGNC:20867,G:HGNC:13154,0,,0
G:HGNC:10108,G:HGNC:14153,0,,0
G:HGNC:18349,G:HGNC:34448,0,,0
G:HGNC:3960,G:HGNC:5836,0,,0
G:HGNC:32896,G:HGNC:26929,0,,0
G:HGNC:25615,G:HGNC:27334,0,,0
G:HGNC:25162,G:HGNC:9841,0,,0
G:HGNC:25206,G:HGNC:32609,0,,0
G:HGNC:23745,G:HGNC:16783,0,,0
G:HGNC:32107,G:HGNC:27887,0,,0
G:HGNC:32872,G:HGNC:33042,0,,0
G:HGNC:6783,G:HGNC:25208,0,,0
G:HGNC:32757,G:HGNC:24779,0,,0
G:HGNC:32783,G:HGNC:8528,0,,0
G:HGNC:20852,G:HGNC:31706,0,,0
G:HGNC:26845,G:HGNC:5467,0,,0
G:HGNC:19179,G:HGNC:18303,0,,0
G:HGNC:23370,G:HGNC:18863,0,,0
G:HGNC:21339,G:HGNC:17367,0,,0
G:HGNC:19599,G:HGNC:12997,0,,0
G:HGNC:13851,G:HGNC:24903,0,,0
G:HGNC:18463,G:HGNC:8009,0,,0
G:HGNC:5418,G:HGNC:16844,0,,0
G:HGNC:33178,G:HGNC:26863,0,,0
