,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank
139,G:HGNC:29149,G:HGNC:28110,GMDMG,2613.0,0.326,3879.0
140,G:HGNC:29149,G:HGNC:28110,GMDpDMG,4216.0,0.269,5767.0
141,G:HGNC:3386,G:HGNC:3763,GPdPG,24.0,0.625,64.0
142,G:HGNC:3386,G:HGNC:3763,GTG,71.0,0.888,636.0
143,G:HGNC:3386,G:HGNC:3763,GMDMG,1158.0,0.634,3168.0
144,G:HGNC:3386,G:HGNC:3763,GMDpDMG,256.0,0.943,4479.0
145,G:HGNC:30040,G:HGNC:17825,GTG,18.0,0.958,424.0
146,G:HGNC:6524,G:HGNC:8031,GDpDG,98.0,0.605,248.0
147,G:HGNC:6524,G:HGNC:8031,GDpDpDG,227.0,0.959,5548.0
148,G:HGNC:6524,G:HGNC:8031,GPdPG,37.0,0.526,78.0
149,G:HGNC:6524,G:HGNC:8031,GTG,212.0,0.715,745.0
150,G:HGNC:9316,G:HGNC:9305,GTG,55.0,0.859,390.0
151,G:HGNC:9316,G:HGNC:25415,GTG,28.0,0.927,385.0
152,G:HGNC:15993,G:HGNC:6938,GTG,23.0,0.88,192.0
153,G:HGNC:15993,G:HGNC:6938,GMG,884.0,0.132,1019.0
154,G:HGNC:886,G:HGNC:26220,GTG,200.0,0.636,549.0
155,G:HGNC:886,G:HGNC:26220,GMDMG,1896.0,0.216,2419.0
156,G:HGNC:12587,G:HGNC:29594,GPdPG,2.0,0.857,14.0
157,G:HGNC:12587,G:HGNC:29594,GTG,10.0,0.963,271.0
158,G:HGNC:12587,G:HGNC:29594,GMG,819.0,0.174,992.0
159,G:HGNC:12587,G:HGNC:29594,GMDMG,1527.0,0.535,3285.0
160,G:HGNC:12587,G:HGNC:29594,GMDpDMG,915.0,0.804,4673.0
161,G:HGNC:391,G:HGNC:11399,GTG,469.0,0.54,1019.0
162,G:HGNC:4637,G:HGNC:16906,GPdPG,2.0,0.882,17.0
163,G:HGNC:4637,G:HGNC:16906,GTG,23.0,0.941,391.0
164,G:HGNC:4637,G:HGNC:16906,GMG,95.0,0.755,388.0
165,G:HGNC:18485,G:HGNC:17843,GTG,204.0,0.519,424.0
166,G:HGNC:18485,G:HGNC:17843,GMDMG,2960.0,0.142,3449.0
167,G:HGNC:362,G:HGNC:363,GTG,7.0,0.978,315.0
168,G:HGNC:362,G:HGNC:363,GMG,901.0,0.191,1114.0
169,G:HGNC:362,G:HGNC:363,GMDMG,3414.0,0.263,4631.0
170,G:HGNC:362,G:HGNC:363,GMDpDMG,3429.0,0.481,6612.0
171,G:HGNC:1133,G:HGNC:3386,GPdPG,6.0,0.875,48.0
172,G:HGNC:1133,G:HGNC:3386,GTG,416.0,0.405,699.0
173,G:HGNC:1133,G:HGNC:3386,GMDMG,2041.0,0.364,3207.0
174,G:HGNC:1133,G:HGNC:3386,GMDpDMG,3400.0,0.29,4789.0
175,G:HGNC:9302,G:HGNC:9305,GDpDpDG,2585.0,0.537,5581.0
176,G:HGNC:9302,G:HGNC:9305,GTG,21.0,0.962,553.0
177,G:HGNC:9302,G:HGNC:9305,GMDMG,3373.0,0.102,3758.0
178,G:HGNC:29149,G:HGNC:9304,GTG,48.0,0.885,418.0
179,G:HGNC:29149,G:HGNC:9304,GMG,846.0,0.201,1059.0
180,G:HGNC:29149,G:HGNC:9304,GMDMG,2457.0,0.565,5644.0
181,G:HGNC:29149,G:HGNC:9304,GMDpDMG,3802.0,0.471,7189.0
182,G:HGNC:28110,G:HGNC:9300,GTG,33.0,0.916,391.0
183,G:HGNC:28110,G:HGNC:9300,GMDMG,1197.0,0.618,3137.0
184,G:HGNC:28110,G:HGNC:9300,GMDpDMG,343.0,0.92,4289.0
185,G:HGNC:7063,G:HGNC:4634,GPdPG,4.0,0.789,19.0
186,G:HGNC:7063,G:HGNC:4634,GTG,60.0,0.866,448.0
187,G:HGNC:7063,G:HGNC:4634,GMDMG,2131.0,0.18,2598.0
188,G:HGNC:7063,G:HGNC:4634,GMDpDMG,4208.0,0.102,4684.0
189,G:HGNC:3391,G:HGNC:6524,GPdPG,27.0,0.526,57.0
190,G:HGNC:3391,G:HGNC:6524,GTG,228.0,0.605,577.0
191,G:HGNC:4637,G:HGNC:7063,GPdPG,1.0,0.917,12.0
192,G:HGNC:4637,G:HGNC:7063,GTG,69.0,0.831,408.0
193,G:HGNC:21423,G:HGNC:10821,GTG,47.0,0.886,412.0
194,G:HGNC:9184,G:HGNC:2255,GMDMG,784.0,0.676,2421.0
195,G:HGNC:9184,G:HGNC:2255,GMDpDMG,485.0,0.881,4081.0
196,G:HGNC:16713,G:HGNC:11745,GTG,394.0,0.355,611.0
197,G:HGNC:16713,G:HGNC:11745,GMG,540.0,0.344,823.0
198,G:HGNC:16713,G:HGNC:11745,GMDMG,1764.0,0.534,3788.0
199,G:HGNC:16713,G:HGNC:11745,GMDpDMG,2333.0,0.578,5528.0
200,G:HGNC:15714,G:HGNC:29091,GTG,188.0,0.577,444.0
201,G:HGNC:15714,G:HGNC:29091,GMDMG,1074.0,0.566,2476.0
202,G:HGNC:21017,G:HGNC:4566,GTG,416.0,0.321,613.0
203,G:HGNC:21017,G:HGNC:4566,GMDMG,2922.0,0.231,3800.0
204,G:HGNC:21017,G:HGNC:4566,GMDpDMG,4673.0,0.13,5372.0
205,G:HGNC:26094,G:HGNC:2064,GMDMG,591.0,0.741,2286.0
206,G:HGNC:26094,G:HGNC:2064,GMDpDMG,944.0,0.762,3961.0
207,G:HGNC:9107,G:HGNC:34390,GMDMG,2238.0,0.328,3330.0
208,G:HGNC:9107,G:HGNC:34390,GMDpDMG,2830.0,0.407,4775.0
209,G:HGNC:17197,G:HGNC:3036,GMG,1059.0,0.09,1164.0
210,G:HGNC:17197,G:HGNC:3036,GMDMG,2765.0,0.393,4552.0
211,G:HGNC:17197,G:HGNC:3036,GMDpDMG,2997.0,0.551,6668.0
212,G:HGNC:18755,G:HGNC:861,GMDMG,1366.0,0.501,2736.0
213,G:HGNC:28203,G:HGNC:3299,GMG,1098.0,0.204,1380.0
214,G:HGNC:28203,G:HGNC:3299,GMDMG,3538.0,0.199,4419.0
215,G:HGNC:28203,G:HGNC:3299,GMDpDMG,4720.0,0.203,5924.0
216,G:HGNC:28323,G:HGNC:12771,GMDMG,1040.0,0.728,3821.0
217,G:HGNC:28323,G:HGNC:12771,GMDpDMG,2162.0,0.576,5099.0
218,G:HGNC:17720,G:HGNC:20990,GTG,123.0,0.57,286.0
219,G:HGNC:25076,G:HGNC:12659,GMG,522.0,0.528,1106.0
220,G:HGNC:25076,G:HGNC:12659,GMDMG,2716.0,0.344,4138.0
221,G:HGNC:25076,G:HGNC:12659,GMDpDMG,3890.0,0.269,5320.0
222,G:HGNC:7657,G:HGNC:6358,GMDMG,2076.0,0.211,2632.0
223,G:HGNC:11210,G:HGNC:13077,GMDpDMG,2576.0,0.275,3555.0
224,G:HGNC:15436,G:HGNC:24972,GTG,179.0,0.568,414.0
225,G:HGNC:8490,G:HGNC:32233,GMG,935.0,0.098,1037.0
226,G:HGNC:8490,G:HGNC:32233,GMDMG,3044.0,0.169,3664.0
227,G:HGNC:26007,G:HGNC:1421,GMDMG,2427.0,0.117,2750.0
228,G:HGNC:26007,G:HGNC:1421,GMDpDMG,3244.0,0.087,3554.0
229,G:HGNC:28379,G:HGNC:24031,GMDMG,2116.0,0.31,3067.0
230,G:HGNC:28379,G:HGNC:24031,GMDpDMG,224.0,0.942,3860.0
231,G:HGNC:11726,G:HGNC:7690,GMG,288.0,0.546,634.0
232,G:HGNC:11726,G:HGNC:7690,GMDMG,1992.0,0.338,3011.0
233,G:HGNC:3121,G:HGNC:1043,GTG,458.0,0.181,559.0
234,G:HGNC:3439,G:HGNC:28226,GTG,77.0,0.839,479.0
235,G:HGNC:3439,G:HGNC:28226,GMG,769.0,0.168,924.0
236,G:HGNC:3439,G:HGNC:28226,GMDMG,1997.0,0.409,3381.0
237,G:HGNC:3439,G:HGNC:28226,GMDpDMG,3199.0,0.366,5042.0
238,G:HGNC:25395,G:HGNC:24537,GTG,374.0,0.229,485.0
239,G:HGNC:25395,G:HGNC:24537,GMDMG,2906.0,0.281,4040.0
240,G:HGNC:25395,G:HGNC:24537,GMDpDMG,4714.0,0.143,5503.0
241,G:HGNC:13176,G:HGNC:441,GTG,339.0,0.354,525.0
242,G:HGNC:30511,G:HGNC:24867,GTG,93.0,0.71,321.0
243,G:HGNC:30511,G:HGNC:24867,GMDMG,1091.0,0.649,3112.0
244,G:HGNC:30511,G:HGNC:24867,GMDpDMG,1982.0,0.638,5479.0
245,G:HGNC:23200,G:HGNC:19985,GTG,53.0,0.873,418.0
246,G:HGNC:23200,G:HGNC:19985,GMDMG,3014.0,0.335,4534.0
247,G:HGNC:23200,G:HGNC:19985,GMDpDMG,5385.0,0.153,6358.0
