"","gene1","gene2","HGNCID1","HGNCID2","Lin_BP","Lin_CC","Lin_MF","Resnik_BP","Resnik_CC","Resnik_MF","Wang_BP","Wang_CC","Wang_MF","Label"
"86","NM_002704","NM_173500","HGNC:9240","HGNC:19141","0.219","0.377","0.299","0.091","0.116","0.037","0.258","0.444","0.485",0
"87","NM_001925","NM_013316","HGNC:2763","HGNC:7880","0.324","0.19","0.35","0.161","0.067","0.067","0.065","0.343","0.606",0
"88","NM_020884","NM_017918","HGNC:15906","HGNC:26076","0","0","0","0","0","0","0","0","0.145",0
"89","NM_001005496","NM_174981","HGNC:15283","HGNC:23822","0","0","0","0","0","0","0","0","0",0
"90","NM_182492","NM_153615","HGNC:25323","HGNC:31911","0","0","0","0","0","0","0","0","0",0
"91","NM_001004298","NR_029887","HGNC:26563","HGNC:31770","0.287","0","0","0.136","0","0","0.175","0.177","0.06",0
"92","NM_016072","NM_001039615","HGNC:20175","HGNC:33202","0","0","0","0","0","0","0","0","0",0
"93","NM_018657","NM_020310","HGNC:14955","HGNC:7188","0.917","1","0.54","0.202","0.12","0.118","0.964","1","0.603",0
"94","NM_019022","NM_001144960","HGNC:24718","HGNC:29642","0","0","0","0","0","0","0","0","0",0
"95","NM_020718","NM_006959","HGNC:20060","HGNC:12958","0","0","0","0","0","0","0","0","0.098",0
"96","NR_023378","NM_003678","HGNC:34377","HGNC:19074","0","0","0","0","0","0","0","0","0",0
"97","NM_001644","NM_033254","HGNC:604","HGNC:17173","0.127","0.604","1","0.077","0.105","0.067","0.125","0.712","1",0
"98","NM_004103","NM_022573","HGNC:9612","HGNC:23924","0","0","0","0","0","0","0","0","0",0
"99","NM_022491","NM_032029","HGNC:29545","HGNC:24692","0.079","0.118","0","0.028","0.016","0","0.183","0.356","0",0
"100","NR_003047","NM_000740","HGNC:32717","HGNC:1952","0","0","0","0","0","0","0","0","0",0
"101","NM_145231","NM_030663","HGNC:20357","HGNC:6962","0","0","0","0","0","0","0","0","0",0
"102","NM_015938","NM_006145","HGNC:24250","HGNC:5270","0.289","0.763","0.144","0.156","0.108","0.048","0.247","0.808","0.461",0
"103","NM_001442","NM_003203","HGNC:3559","HGNC:1317","0.182","0.699","0.055","0.085","0.131","0.02","0.09","0.745","0.207",0
"104","NM_002296","NM_003043","HGNC:6518","HGNC:11052","0.286","0.532","0","0.129","0.11","0","0.18","0.496","0.108",0
"105","NM_001003789","NM_001355444.1","HGNC:9800","HGNC:23488","0","0","0","0","0","0","0","0","0",0
"106","NM_000482","NM_015726","HGNC:602","HGNC:24891","0.566","0.376","1","0.168","0.105","0.067","0.782","0.465","1",0
"107","NG_001019","NM_017777","HGNC:5580","HGNC:7121","0","0","0","0","0","0","0","0","0",0
