gene1,gene2
HGNC:2973,HGNC:6524
HGNC:12877,HGNC:7045
HGNC:3631,HGNC:15505
HGNC:2501,HGNC:8654
HGNC:15517,HGNC:175
HGNC:11834,HGNC:6601
HGNC:327,HGNC:17175
HGNC:2843,HGNC:22140
HGNC:24678,HGNC:3012
HGNC:177,HGNC:9052
HGNC:9208,HGNC:924
HGNC:19139,HGNC:4341
HGNC:15672,HGNC:9462
HGNC:9388,HGNC:395
HGNC:25461,HGNC:8957
HGNC:26444,HGNC:4570
HGNC:13211,HGNC:21869
HGNC:21022,HGNC:438
HGNC:2602,HGNC:18986
HGNC:91,HGNC:2861
HGNC:9388,HGNC:735
HGNC:26222,HGNC:15505
HGNC:11503,HGNC:857
HGNC:7413,HGNC:470
HGNC:19331,HGNC:13398
HGNC:6315,HGNC:3647
HGNC:11831,HGNC:18062
HGNC:6192,HGNC:33882
HGNC:2321,HGNC:3513
HGNC:17341,HGNC:5208
HGNC:29958,HGNC:801
HGNC:11503,HGNC:8840
HGNC:1062,HGNC:3012
HGNC:9402,HGNC:9115
HGNC:7713,HGNC:5005
HGNC:7863,HGNC:4335
HGNC:10545,HGNC:6469
HGNC:30740,HGNC:8032
HGNC:6530,HGNC:7892
HGNC:3518,HGNC:12592
HGNC:26019,HGNC:5330
HGNC:4175,HGNC:11609
HGNC:473,HGNC:2898
HGNC:3642,HGNC:3688
HGNC:12469,HGNC:12592
HGNC:30802,HGNC:17759
HGNC:469,HGNC:30262
HGNC:1912,HGNC:11449
HGNC:8806,HGNC:9752
HGNC:28883,HGNC:9052
HGNC:7179,HGNC:9081
HGNC:812,HGNC:5201
HGNC:8964,HGNC:8754
HGNC:8127,HGNC:12592
HGNC:9279,HGNC:20233
HGNC:177,HGNC:16066
HGNC:4922,HGNC:9255
HGNC:1318,HGNC:15925
HGNC:2860,HGNC:8654
HGNC:9059,HGNC:6512
HGNC:801,HGNC:20499
HGNC:7436,HGNC:4706
HGNC:18518,HGNC:2501
HGNC:9349,HGNC:23159
HGNC:8028,HGNC:6215
HGNC:758,HGNC:812
HGNC:19684,HGNC:9325
HGNC:37276,HGNC:9115
HGNC:9059,HGNC:16999
HGNC:12469,HGNC:18453
HGNC:2933,HGNC:7436
HGNC:853,HGNC:2896
HGNC:24249,HGNC:24592
HGNC:3535,HGNC:2519
HGNC:11179,HGNC:30260
HGNC:19684,HGNC:1912
HGNC:8021,HGNC:26222
HGNC:21869,HGNC:9081
HGNC:26404,HGNC:735
HGNC:2858,HGNC:17095
HGNC:9752,HGNC:3012
HGNC:5154,HGNC:8907
HGNC:8772,HGNC:6833
HGNC:17877,HGNC:9402
HGNC:2602,HGNC:7166
HGNC:23159,HGNC:2861
HGNC:4799,HGNC:20
HGNC:1550,HGNC:851
HGNC:4115,HGNC:3151
HGNC:6601,HGNC:9155
HGNC:1509,HGNC:8925
HGNC:20499,HGNC:11460
HGNC:4313,HGNC:11609
HGNC:2652,HGNC:6080
HGNC:3148,HGNC:30260
HGNC:25461,HGNC:470
HGNC:29419,HGNC:391
HGNC:17964,HGNC:2323
HGNC:21406,HGNC:930
HGNC:23056,HGNC:9350
HGNC:8108,HGNC:28883
HGNC:15993,HGNC:11460
HGNC:2859,HGNC:17175
HGNC:15629,HGNC:11831
HGNC:29419,HGNC:2689
HGNC:8923,HGNC:24671
HGNC:12513,HGNC:8592
HGNC:12513,HGNC:20
HGNC:5391,HGNC:6080
HGNC:341,HGNC:10547
HGNC:5157,HGNC:1133
HGNC:20499,HGNC:7713
HGNC:5157,HGNC:17800
HGNC:26404,HGNC:4799
HGNC:30262,HGNC:12592
HGNC:7432,HGNC:8604
HGNC:8790,HGNC:414
HGNC:18518,HGNC:1985
HGNC:2294,HGNC:8783
HGNC:21042,HGNC:470
HGNC:29666,HGNC:8927
