,gene1,gene2,ins,mPath,score
21,G:HGNC:6932,G:HGNC:16066,29,GDpDpDG,0.01354191
3,G:HGNC:6932,G:HGNC:20372,1,GMG,0.666666667
19,G:HGNC:6932,G:HGNC:9236,1,GDG,0.666666667
0,G:HGNC:6932,G:HGNC:9201,1,GDG,0.666666667
25,G:HGNC:6932,G:HGNC:11580,1,GMG,0.666666667
11,G:HGNC:6932,G:HGNC:30247,1,GMG,0.666666667
26,G:HGNC:6932,G:HGNC:20065,1,GMG,0.666666667
13,G:HGNC:6932,G:HGNC:11795,21,GDMDMDG,0.65625
23,G:HGNC:6932,G:HGNC:9411,18,GDMDMDG,0.620689655
6,G:HGNC:6932,G:HGNC:4795,42,GDpDpDG,0.53164557
1,G:HGNC:6932,G:HGNC:391,16,GDpDpDG,0.014178113
2,G:HGNC:6932,G:HGNC:391,365,GDMDMDG,0.087571977
27,G:HGNC:6932,G:HGNC:3444,1,GMG,0.5
19,G:HGNC:6932,G:HGNC:13586,1,GMG,0.5
2,G:HGNC:6932,G:HGNC:9343,1,GMG,0.5
6,G:HGNC:6932,G:HGNC:393,16,GDpDpDG,0.027327071
3,G:HGNC:6932,G:HGNC:29181,1,GMG,0.5
39,G:HGNC:6932,G:HGNC:30414,1,GMG,0.5
9,G:HGNC:6932,G:HGNC:395,3,GDpDpDG,0.004691165
15,G:HGNC:6932,G:HGNC:13736,1,GMG,0.5
12,G:HGNC:6932,G:HGNC:12618,1,GMG,0.5
12,G:HGNC:6932,G:HGNC:397,2,GDpDpDG,0.01
7,G:HGNC:6932,G:HGNC:6931,8,GTG,0.41025641
1,G:HGNC:6932,G:HGNC:3356,1,GDG,0.4
3,G:HGNC:6932,G:HGNC:17875,1,GMG,0.4
3,G:HGNC:6932,G:HGNC:23522,1,GMG,0.4
10,G:HGNC:6932,G:HGNC:8488,1,GMG,0.4
20,G:HGNC:6932,G:HGNC:30033,1,GMG,0.4
30,G:HGNC:6932,G:HGNC:20059,1,GMG,0.4
12,G:HGNC:6932,G:HGNC:4132,7,GTG,0.388888889
21,G:HGNC:6932,G:HGNC:406,13,GDpDpDG,0.070844687
22,G:HGNC:6932,G:HGNC:408,25,GDpDpDG,0.012661433
23,G:HGNC:6932,G:HGNC:7179,7,GDpDpDG,0.022222222
24,G:HGNC:6932,G:HGNC:877,21,GDpDpDG,0.021604938
13,G:HGNC:6932,G:HGNC:4133,9,GTG,0.375
26,G:HGNC:6932,G:HGNC:9722,85,GDpDpDG,0.003641193
19,G:HGNC:6932,G:HGNC:7745,17,GDpDpDG,0.357894737
28,G:HGNC:6932,G:HGNC:414,20,GDpDpDG,0.025789813
